song_name,timestamp,ax,ay,az,gx,gy,gz,la,rs,tp
telephone,2026-09-01 15:37:17,0.3389,-1.4653,-0.9646,0.5698,0.5906,-0.7305,0.7867,1.0987,1.8854
telephone,2026-09-01 15:37:17,0.1968,-0.0664,-0.7371,0.188,0.4929,-1.5996,0.23419999999999996,1.6843,1.9185
telephone,2026-09-01 15:37:17,-1.6746,2.3855,-0.5042,-0.0542,0.3735,-1.2998,1.9579,1.3535,3.3114
telephone,2026-09-01 15:37:17,-0.9197,0.769,-0.6382,-0.1582,-1.0083,2.1045,0.3581000000000001,2.3389,2.697
telephone,2026-09-01 15:37:17,2.0671,-2.5991,-2.6697,-1.4199,-0.5144,1.1763,3.2609000000000004,1.9143,5.1752
telephone,2026-09-01 15:37:18,0.7285,-0.9128,-1.4543,0.8015,0.4414,-0.823,0.8652,1.2307,2.0959
telephone,2026-09-01 15:37:18,-1.0762,0.396,-0.9556,1.0081,1.1699,-2.5447,0.4926999999999999,2.9766,3.4693
telephone,2026-09-01 15:37:18,-1.5908,2.9766,-0.0742,-0.0952,-0.0635,0.2271,2.3758,0.2543,2.6301
telephone,2026-09-01 15:37:18,-2.4824,-0.5649,-1.7346,-0.3035,-1.814,3.4255,2.0806,3.888,5.9686
telephone,2026-09-01 15:37:18,-0.0339,-1.1077,-1.1455,0.9436,0.5349,-0.9922,0.5938000000000001,1.47,2.0638
telephone,2026-09-01 15:37:18,-0.7258,-0.2373,-0.6018,0.4707,0.8254,-2.5239,0.027800000000000047,2.6968,2.7246
telephone,2026-09-01 15:37:18,-2.0466,3.5713,-0.1372,-0.0559,0.4937,-0.5234,3.1184000000000003,0.7217,3.8401
telephone,2026-09-01 15:37:18,-1.292,0.4331,-1.0837,-0.2869,-1.322,2.4998,0.7410000000000001,2.8424,3.5834
telephone,2026-09-01 15:37:18,1.2805,-2.3467,-2.1006,-0.0972,0.3682,0.3865,2.3999,0.5426,2.9425
telephone,2026-09-01 15:37:18,0.5012,-0.8296,-1.2605,-0.1165,0.6296,-1.2356,0.5901000000000001,1.3916,1.9817
